group ,team.perfo
1,3.666667
2,4
19,6.15
8,6.285714
3,7
4,7
12,7
16,7.125
18,7.277778
7,7.305556
5,7.5
9,7.5
17,7.5
20,7.666667
6,7.75
11,7.75
27,7.75
26,8
28,8
13,8.25
25,8.25
24,8.285714
22,8.375
14,8.666667
15,8.666667
23,8.75
10,9.958333
21,NA
